Assembly,Biome_ID
ERZ1023689,root:Engineered:Wastewater:Water and sludge
ERZ1023811,root:Engineered:Wastewater:Water and sludge
ERZ1026800,root:Engineered:Wastewater
ERZ1026805,root:Engineered:Wastewater
ERZ1026810,root:Engineered:Wastewater
ERZ1027185,root:Environmental:Aquatic:Marine:Coastal
ERZ1030108,root:Host-associated:Human:Skin
ERZ1030497,root:Host-associated:Human:Skin
ERZ1030499,root:Host-associated:Human:Skin
ERZ1031350,root:Host-associated:Human:Skin
ERZ1031371,root:Host-associated:Human:Skin
ERZ1031588,root:Host-associated:Human:Skin
ERZ1032715,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERZ1032912,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERZ1033301,root:Host-associated:Human:Skin
ERZ1035815,root:Host-associated:Human:Skin
ERZ1047472,root:Environmental:Aquatic:Marine:Oceanic
ERZ10545954,root:Engineered:Solid waste:Composting
ERZ1505400,root:Engineered:Wastewater
ERZ1645185,root:Environmental:Aquatic:Freshwater:Sediment
ERZ1645192,root:Environmental:Aquatic:Freshwater:Sediment
ERZ1649853,root:Environmental:Aquatic:Freshwater:Sediment
ERZ1669374,root:Environmental:Aquatic:Thermal springs:Hot (42-90C)
ERZ1673718,root:Host-associated:Human:Digestive system
ERZ1688088,root:Environmental:Aquatic:Estuary:Sediment
ERZ1688198,root:Environmental:Aquatic:Estuary:Sediment
ERZ1688199,root:Environmental:Aquatic:Estuary:Sediment
ERZ1688200,root:Environmental:Aquatic:Estuary:Sediment
ERZ1688207,root:Environmental:Aquatic:Estuary:Sediment
ERZ1699648,root:Environmental:Aquatic:Marine
ERZ1699649,root:Environmental:Aquatic:Marine
ERZ1699652,root:Environmental:Aquatic:Marine
ERZ1699654,root:Environmental:Aquatic:Marine
ERZ1699655,root:Environmental:Aquatic:Marine
ERZ1699657,root:Environmental:Aquatic:Marine
ERZ1699658,root:Environmental:Aquatic:Marine
ERZ1699659,root:Environmental:Aquatic:Marine
ERZ1742330,root:Environmental:Aquatic:Thermal springs:Hot (42-90C)
ERZ1749211,root:Environmental:Aquatic:Marine:Oceanic
ERZ1749242,root:Environmental:Aquatic:Marine:Oceanic
ERZ1749309,root:Environmental:Aquatic:Marine:Oceanic
ERZ1756814,root:Environmental:Aquatic:Marine:Oceanic
ERZ1756825,root:Environmental:Aquatic:Marine:Oceanic
ERZ1756851,root:Environmental:Aquatic:Marine:Oceanic
ERZ1756884,root:Environmental:Aquatic:Marine:Oceanic
ERZ1760265,root:Engineered:Modeled:Simulated communities (microbial mixture)
ERZ1767620,root:Mixed
ERZ1793617,root:Environmental:Aquatic
ERZ1793633,root:Environmental:Aquatic
ERZ1896575,root:Engineered:Lab enrichment:Defined media:Marine media
ERZ1896577,root:Engineered:Lab enrichment:Defined media:Marine media
ERZ1896618,root:Engineered:Lab enrichment:Defined media:Marine media
ERZ1896673,root:Engineered:Lab enrichment:Defined media:Marine media
ERZ1896707,root:Engineered:Lab enrichment:Defined media:Marine media
ERZ2226719,root:Mixed
ERZ2227387,root:Mixed
ERZ2227660,root:Mixed
ERZ2270450,root:Mixed
ERZ2270666,root:Mixed
ERZ2270831,root:Mixed
ERZ2270842,root:Mixed
ERZ2270974,root:Mixed
ERZ2271043,root:Mixed
ERZ2271553,root:Mixed
ERZ2271748,root:Mixed
ERZ2271838,root:Mixed
ERZ2271960,root:Mixed
ERZ2271964,root:Mixed
ERZ2271976,root:Mixed
ERZ2272028,root:Mixed
ERZ2272091,root:Mixed
ERZ2272363,root:Mixed
ERZ2272614,root:Mixed
ERZ2272616,root:Mixed
ERZ2272636,root:Mixed
ERZ2272690,root:Mixed
ERZ2272748,root:Mixed
ERZ2437682,root:Environmental:Aquatic:Marine
ERZ2437839,root:Environmental:Aquatic:Marine
ERZ2437995,root:Environmental:Aquatic:Marine
ERZ2438226,root:Environmental:Aquatic:Marine
ERZ2438265,root:Environmental:Aquatic:Marine
ERZ2772438,root:Environmental:Aquatic:Marine:Coastal:Sediment
ERZ2772491,root:Environmental:Aquatic:Marine
ERZ2772516,root:Environmental:Aquatic:Marine
ERZ2772523,root:Environmental:Aquatic:Marine
ERZ2772538,root:Environmental:Aquatic:Marine
ERZ2772539,root:Environmental:Aquatic:Marine
ERZ2772549,root:Environmental:Aquatic:Marine
ERZ2772583,root:Environmental:Aquatic:Marine
ERZ2772589,root:Environmental:Aquatic:Marine
ERZ2772591,root:Environmental:Aquatic:Marine
ERZ2772610,root:Environmental:Aquatic:Marine
ERZ2772629,root:Environmental:Aquatic:Marine
ERZ2772635,root:Environmental:Aquatic:Marine
ERZ2944898,root:Environmental:Aquatic:Marine:Oceanic
ERZ2944967,root:Environmental:Aquatic:Marine:Oceanic
ERZ2945021,root:Environmental:Aquatic:Marine:Oceanic
ERZ2945023,root:Environmental:Aquatic:Marine:Oceanic
ERZ2945081,root:Environmental:Aquatic:Marine:Oceanic
ERZ3421493,root:Environmental:Aquatic:Marine
ERZ3421540,root:Environmental:Aquatic:Marine
ERZ3421569,root:Environmental:Aquatic:Marine
ERZ3421580,root:Environmental:Aquatic:Marine
ERZ3421633,root:Environmental:Aquatic:Marine
ERZ3421638,root:Environmental:Aquatic:Marine
ERZ3421648,root:Environmental:Aquatic:Marine
ERZ3421795,root:Environmental:Aquatic:Marine
ERZ3421823,root:Environmental:Aquatic:Marine
ERZ3421824,root:Environmental:Aquatic:Marine
ERZ3421825,root:Environmental:Aquatic:Marine
ERZ3421826,root:Environmental:Aquatic:Marine
ERZ3421830,root:Environmental:Aquatic:Marine
ERZ3421831,root:Environmental:Aquatic:Marine
ERZ3421833,root:Environmental:Aquatic:Marine
ERZ3421834,root:Environmental:Aquatic:Marine
ERZ3421835,root:Environmental:Aquatic:Marine
ERZ3421836,root:Environmental:Aquatic:Marine
ERZ3421837,root:Environmental:Aquatic:Marine
ERZ3421838,root:Environmental:Aquatic:Marine
ERZ3421839,root:Environmental:Aquatic:Marine
ERZ3421840,root:Environmental:Aquatic:Marine
ERZ3421841,root:Environmental:Aquatic:Marine
ERZ3421842,root:Environmental:Aquatic:Marine
ERZ3421844,root:Environmental:Aquatic:Marine
ERZ3421852,root:Environmental:Aquatic:Marine
ERZ3421854,root:Environmental:Aquatic:Marine
ERZ3421922,root:Environmental:Aquatic:Marine
ERZ3421932,root:Environmental:Aquatic:Marine
ERZ3421961,root:Environmental:Aquatic:Marine
ERZ3422017,root:Environmental:Aquatic:Marine
ERZ3422020,root:Environmental:Aquatic:Marine
ERZ3422065,root:Environmental:Aquatic:Marine
ERZ3422068,root:Environmental:Aquatic:Marine
ERZ3422088,root:Environmental:Aquatic:Marine
ERZ3422114,root:Environmental:Aquatic:Marine
ERZ3422154,root:Environmental:Aquatic:Marine
ERZ3422167,root:Environmental:Aquatic:Marine
ERZ3422296,root:Environmental:Aquatic:Marine
ERZ3422319,root:Environmental:Aquatic:Marine
ERZ3422389,root:Environmental:Aquatic:Marine
ERZ3422408,root:Environmental:Aquatic:Marine
ERZ3455792,root:Engineered:Wastewater:Water and sludge
ERZ3455828,root:Engineered:Wastewater:Water and sludge
ERZ3455839,root:Engineered:Wastewater:Water and sludge
ERZ3455847,root:Engineered:Wastewater:Water and sludge
ERZ3455857,root:Engineered:Wastewater:Water and sludge
ERZ3455865,root:Engineered:Wastewater:Water and sludge
ERZ3455866,root:Engineered:Wastewater:Water and sludge
ERZ3455868,root:Engineered:Wastewater:Water and sludge
ERZ3455871,root:Engineered:Wastewater:Water and sludge
ERZ3455899,root:Engineered:Wastewater:Water and sludge
ERZ3820703,root:Host-associated:Plants:Rhizosphere
ERZ3820730,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERZ3820734,root:Environmental:Aquatic:Freshwater:Groundwater:Biofilm
ERZ3823101,root:Environmental:Aquatic:Marine
ERZ3906615,root:Environmental:Aquatic:Marine
