Assembly,Biome_ID
ERZ1022745,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022771,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022775,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022779,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022813,root:Environmental:Aquatic:Freshwater:Lake
ERZ1023170,root:Host-associated:Human:Skin
ERZ1023177,root:Host-associated:Human:Skin
ERZ1023359,root:Host-associated:Human:Skin
ERZ1023384,root:Host-associated:Human:Skin
ERZ1029865,root:Host-associated:Human:Skin
ERZ1029954,root:Host-associated:Human:Skin
ERZ1030018,root:Host-associated:Human:Skin
ERZ1030020,root:Host-associated:Human:Skin
ERZ1030068,root:Host-associated:Human:Skin
ERZ1030236,root:Engineered:Built environment
ERZ1030262,root:Engineered:Built environment
ERZ1030268,root:Engineered:Built environment
ERZ1030276,root:Engineered:Built environment
ERZ1030305,root:Host-associated:Human:Skin
ERZ1031121,root:Host-associated:Human:Skin
ERZ1031154,root:Host-associated:Human:Skin
ERZ1031172,root:Host-associated:Human:Skin
ERZ1031185,root:Host-associated:Human:Skin
ERZ1031201,root:Host-associated:Human:Skin
ERZ1031233,root:Host-associated:Human:Skin
ERZ1031272,root:Host-associated:Human:Skin
ERZ1031280,root:Host-associated:Human:Skin
ERZ1031296,root:Host-associated:Human:Skin
ERZ1031308,root:Host-associated:Human:Skin
ERZ1032833,root:Host-associated:Human:Digestive system:Large intestine:Fecal
ERZ1036380,root:Host-associated:Human:Skin
ERZ1048686,root:Environmental:Aquatic:Marine:Oceanic
ERZ10545953,root:Environmental:Terrestrial:Soil:Oil-contaminated
ERZ10545954,root:Engineered:Solid waste:Composting
ERZ1066139,root:Environmental:Aquatic:Freshwater
ERZ1292642,root:Environmental:Aquatic:Freshwater:Groundwater
ERZ1463028,root:Host-associated:Human:Digestive system
ERZ1463035,root:Host-associated:Human:Digestive system
ERZ1505396,root:Engineered:Wastewater
ERZ1505399,root:Engineered:Wastewater
ERZ1505400,root:Engineered:Wastewater
ERZ1505401,root:Engineered:Wastewater
ERZ1505402,root:Engineered:Wastewater
ERZ1505408,root:Host-associated:Plants:Rhizosphere
ERZ1505411,root:Host-associated:Plants:Rhizosphere
ERZ1687907,root:Environmental:Aquatic:Estuary:Sediment
ERZ1714334,root:Engineered:Wastewater:Water and sludge
ERZ1749008,root:Environmental:Aquatic:Marine:Oceanic
ERZ1756900,root:Environmental:Aquatic:Marine:Oceanic
ERZ1758449,root:Environmental:Aquatic:Freshwater:Drinking water:Delivery networks
ERZ1764613,root:Engineered:Wastewater:Nutrient removal:Biological phosphorus removal:Activated sludge
ERZ1793602,root:Environmental:Aquatic
ERZ2227828,root:Mixed
ERZ2227954,root:Mixed
ERZ2228049,root:Mixed
ERZ2270386,root:Mixed
ERZ2270666,root:Mixed
ERZ2270687,root:Mixed
ERZ2270793,root:Mixed
ERZ2271145,root:Mixed
ERZ2271310,root:Mixed
ERZ2271340,root:Mixed
ERZ2271464,root:Mixed
ERZ2271710,root:Mixed
ERZ2271726,root:Mixed
ERZ2271742,root:Mixed
ERZ2271960,root:Mixed
ERZ2272075,root:Mixed
ERZ2272173,root:Mixed
ERZ2272263,root:Mixed
ERZ2272274,root:Mixed
ERZ2272342,root:Mixed
ERZ2272392,root:Mixed
ERZ2272495,root:Mixed
ERZ2272536,root:Mixed
ERZ2272596,root:Mixed
ERZ2272608,root:Mixed
ERZ2272636,root:Mixed
ERZ2272715,root:Mixed
ERZ3421860,root:Environmental:Aquatic:Marine
ERZ3422165,root:Environmental:Aquatic:Marine
ERZ3455847,root:Engineered:Wastewater:Water and sludge
