Assembly,Biome_ID
ERZ1022724,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022727,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022729,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022732,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022735,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022739,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022742,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022745,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022748,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022750,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022753,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022756,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022761,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022763,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022769,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022771,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022775,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022779,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022782,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022785,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022794,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022805,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022808,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022813,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022820,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022823,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022825,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022827,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022831,root:Environmental:Aquatic:Freshwater:Lake
ERZ1022833,root:Environmental:Aquatic:Freshwater:Lake
ERZ1023144,root:Host-associated:Human:Skin
ERZ1023148,root:Host-associated:Human:Skin
ERZ1023151,root:Host-associated:Human:Skin
ERZ1023155,root:Host-associated:Human:Skin
ERZ1023158,root:Host-associated:Human:Skin
ERZ1023161,root:Host-associated:Human:Skin
ERZ1023164,root:Host-associated:Human:Skin
ERZ1023167,root:Host-associated:Human:Skin
ERZ1023170,root:Host-associated:Human:Skin
ERZ1023174,root:Host-associated:Human:Skin
ERZ1023177,root:Host-associated:Human:Skin
ERZ1023183,root:Host-associated:Human:Skin
ERZ1023192,root:Host-associated:Human:Skin:Naris
ERZ1023194,root:Host-associated:Human:Skin
ERZ1023213,root:Host-associated:Human:Skin:Naris
ERZ1023217,root:Host-associated:Human:Skin:Naris
ERZ1023232,root:Host-associated:Human:Skin
ERZ1023239,root:Host-associated:Human:Skin:Naris
ERZ1023241,root:Host-associated:Human:Skin:Naris
ERZ1023242,root:Host-associated:Human:Skin
ERZ1023244,root:Host-associated:Human:Skin:Naris
ERZ1023248,root:Host-associated:Human:Skin:Naris
ERZ1023250,root:Host-associated:Human:Skin
ERZ1023251,root:Host-associated:Human:Skin:Naris
ERZ1023261,root:Host-associated:Human:Skin
ERZ1023263,root:Host-associated:Human:Skin:Naris
ERZ1023267,root:Host-associated:Human:Skin
ERZ1023274,root:Host-associated:Human:Skin
ERZ1023282,root:Host-associated:Human:Skin
ERZ1023290,root:Host-associated:Human:Skin:Naris
ERZ1023291,root:Host-associated:Human:Skin
ERZ1023300,root:Host-associated:Human:Skin
