acc	entry	protein	gene	organism	taxid	length	ec_list	pfam_list	interpro_list	pdb_list	go_mf	go_bp	reviewed	xref_cazy	xref_esther
A0A2J8C362	CUTI1_VERDA	Cutinase 11 (EC 3.1.1.74) (VdCUT11)		Verticillium dahliae (Verticillium wilt)	27337	295	3.1.1.74	PF00734;PF01083;	IPR029058;IPR035971;IPR000254;IPR000675;		carboxylic ester hydrolase activity [GO:0052689]; cellulose binding [GO:0030248]	carbohydrate metabolic process [GO:0005975]; symbiont entry into host [GO:0044409]	reviewed		
A6WFI5	CUTI_KINRD	Cutinase (EC 3.1.1.74) (KrCUT)	cut	Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216)	266940	294	3.1.1.74	PF01083;	IPR029058;IPR000675;		carboxylic ester hydrolase activity [GO:0052689]; cutinase activity [GO:0050525]		reviewed		Cutinase
F7IX06	PETH2_THEAE	Cutinase est2 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101) (TaCut2)	est2	Thermobifida alba (Thermomonospora alba)	53522	300	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;	3VIS;3WYN;6AID;	cutinase activity [GO:0050525]; metal ion binding [GO:0046872]		reviewed		Polyesterase-lipase-cutinase
P0DX29	PETH1_AMYMS	Cutinase (EC 3.1.1.74) (AML) (AmCut) (Lipase) (EC 3.1.1.1, EC 3.1.1.3)	cut1	Amycolatopsis mediterranei (strain S699) (Nocardia mediterranei)	713604	309	3.1.1.1; 3.1.1.3; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;		carboxylesterase activity [GO:0106435]; cutinase activity [GO:0050525]; triacylglycerol lipase activity [GO:0004806]	medium-chain fatty acid catabolic process [GO:0051793]; triglyceride catabolic process [GO:0019433]	reviewed		
A0A024SC78	CUTI1_HYPJR	Cutinase (EC 3.1.1.74)		Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)	1344414	248	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;	4PSC;4PSD;4PSE;	cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
G9BY57	PETH_UNKP	Leaf-branch compost cutinase (LC-cutinase) (LCC) (EC 3.1.1.74) (PET-digesting enzyme) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)		Unknown prokaryotic organism	2725	293	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;	4EB0;6THS;6THT;7VVC;7VVE;7W1N;7W44;7W45;8CMV;8JMO;8JMP;8OTA;8QRJ;	acetylesterase activity [GO:0008126]; cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
P11373	CUTI1_COLGL	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)	CUTA	Colletotrichum gloeosporioides (Anthracnose fungus) (Glomerella cingulata)	474922	224	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;	3DCN;3DD5;3DEA;	cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
Q47RJ6	PETH2_THEFY	Cutinase (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	TfH	Thermobifida fusca (strain YX)	269800	301	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;		cutinase activity [GO:0050525]; triacylglycerol lipase activity [GO:0004806]		reviewed		Polyesterase-lipase-cutinase
E9LVH9	PETH2_THECS	Cutinase 2 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	cut2	Thermobifida cellulosilytica	144786	262	3.1.1.101; 3.1.1.74	PF12740;	IPR029058;IPR050261;IPR041127;	5LUJ;5LUK;5LUL;7QJS;	cutinase activity [GO:0050525]		reviewed		Polyesterase-lipase-cutinase
P00590	CUTI1_FUSVN	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)	CUT1	Fusarium vanettenii (Neocosmospora pisi)	2747968	230	3.1.1.74	PF01083;	IPR029058;IPR000675;IPR043580;IPR043579;IPR011150;	1AGY;1CEX;1CUA;1CUB;1CUC;1CUD;1CUE;1CUF;1CUG;1CUH;1CUI;1CUJ;1CUS;1CUU;1CUV;1CUW;1CUX;1CUY;1CUZ;1FFA;1FFB;1FFC;1FFD;1FFE;1OXM;1XZA;1XZB;1XZC;1XZD;1XZE;1XZF;1XZG;1XZH;1XZI;1XZJ;1XZK;1XZL;1XZM;2CUT;3EF3;3ESA;3ESB;3ESC;3ESD;3QPA;3QPC;	cutinase activity [GO:0050525]	carbohydrate catabolic process [GO:0016052]	reviewed		Cutinase
