hit_acc,hit_name,hit_score,hit_bias,hit_pvalue,hit_evalue,n_domains,dom_bitscore,dom_bias,dom_ievalue,dom_cevalue,dom_aliL,dom_aliId,dom_aliSim,dom_hmm_from,dom_hmm_to,dom_hmm_acc,dom_hmm_name,dom_sq_from,dom_sq_to,dom_model_cov,dom_seq_cov,studies,assemblies,biomes,samples,extlink
MGYP005811077545,MGYP005811077545,209.1,1.9,-151.134601176536,1.7e-57,1,208.926940917969,1.87,1.9e-57,7.3e-63,221,0.505813953488372,0.947674418604651,1,172,PF01083.29,Cutinase,34,212,172,179,ERP136856|https://www.ebi.ac.uk/metagenomics/studies/ERP136856,ERZ10545953|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ10545953,247,136856,https://www.ebi.ac.uk/metagenomics/proteins/MGYP005811077545
MGYP005810363429,MGYP005810363429,206.7,1.7,-149.394192524558,9.4e-57,1,206.45475769043,1.70,1.1e-56,4.2e-62,225,0.479768786127168,0.947976878612717,1,173,PF01083.29,Cutinase,38,217,173,180,ERP136856|https://www.ebi.ac.uk/metagenomics/studies/ERP136856,ERZ10545953|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ10545953,247;62;4,136856,https://www.ebi.ac.uk/metagenomics/proteins/MGYP005810363429
MGYP003781387173,MGYP003781387173,194.0,0.9,-140.409570544278,7.5e-53,1,193.769714355469,0.91,8.7e-53,3.3e-58,214,0.473988439306358,0.919075144508671,1,173,PF01083.29,Cutinase,34,213,173,180,ERP112136|https://www.ebi.ac.uk/metagenomics/studies/ERP112136,ERZ781244|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ781244,466,112136,https://www.ebi.ac.uk/metagenomics/proteins/MGYP003781387173
MGYP005814983491,MGYP005814983491,187.5,1.8,-135.823334639381,7.4e-51,1,187.081024169922,1.82,9.8e-51,3.7e-56,273,0.488372093023256,0.88953488372093,1,172,PF01083.29,Cutinase,93,272,172,180,ERP136856|https://www.ebi.ac.uk/metagenomics/studies/ERP136856,ERZ10545953|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ10545953,247,136856,https://www.ebi.ac.uk/metagenomics/proteins/MGYP005814983491
MGYP001078727874,MGYP001078727874,185.2,0.1,-134.229411515398,3.6e-50,1,185.04573059082,0.05,4.1e-50,1.6e-55,198,0.476744186046512,0.88953488372093,1,172,PF01083.29,Cutinase,19,197,172,179,ERP112136|https://www.ebi.ac.uk/metagenomics/studies/ERP112136,ERZ781244|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ781244,466,112136,https://www.ebi.ac.uk/metagenomics/proteins/MGYP001078727874
MGYP005811034353,MGYP005811034353,181.9,0.1,-131.858610044954,3.9e-49,1,181.680755615234,0.12,4.5e-49,1.7e-54,211,0.5,0.872093023255814,1,172,PF01083.29,Cutinase,31,210,172,180,ERP136856|https://www.ebi.ac.uk/metagenomics/studies/ERP136856,ERZ10545953|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ10545953,247;4,136856,https://www.ebi.ac.uk/metagenomics/proteins/MGYP005811034353
MGYP000082407898,MGYP000082407898,179.0,1.4,-129.849943159963,2.9e-48,1,178.790405273438,1.43,3.5e-48,1.3e-53,237,0.488372093023256,0.854651162790698,1,172,PF01083.29,Cutinase,37,219,172,183,ERP107925|https://www.ebi.ac.uk/metagenomics/studies/ERP107925,ERZ500977|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ500977,401,107925,https://www.ebi.ac.uk/metagenomics/proteins/MGYP000082407898
MGYP001493864579,MGYP001493864579,178.9,1.0,-129.77112112545,3.1e-48,1,178.649444580078,1.01,3.8e-48,1.5e-53,250,0.485549132947977,0.878612716763006,1,173,PF01083.29,Cutinase,52,231,173,180,ERP112613|https://www.ebi.ac.uk/metagenomics/studies/ERP112613,ERZ795053|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ795053,63,112613,https://www.ebi.ac.uk/metagenomics/proteins/MGYP001493864579
MGYP001012772503,MGYP001012772503,178.8,3.7,-129.687000402691,3.4e-48,1,178.60417175293,3.66,3.9e-48,1.5e-53,218,0.494186046511628,0.872093023255814,1,172,PF01083.29,Cutinase,36,214,172,179,ERP110969|https://www.ebi.ac.uk/metagenomics/studies/ERP110969,ERZ724528|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ724528,63;18;62;80;89,110969,https://www.ebi.ac.uk/metagenomics/proteins/MGYP001012772503
MGYP000968118209,MGYP000968118209,178.6,0.1,-129.56145062866,3.9e-48,1,178.423355102539,0.11,4.5e-48,1.7e-53,213,0.476744186046512,0.872093023255814,1,172,PF01083.29,Cutinase,34,212,172,179,ERP111160|https://www.ebi.ac.uk/metagenomics/studies/ERP111160,ERZ761577|https://www.ebi.ac.uk/metagenomics/assemblies/ERZ761577,54,111160,https://www.ebi.ac.uk/metagenomics/proteins/MGYP000968118209
